上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
2677.0,47.0,44.0,2.0,2375.0,2.0,2.0,1.0,157.0,12.0,51.27%,2026-09-17 14:35:00
2503.0,50.0,47.0,3.0,2558.0,2.0,2.0,1.0,148.0,12.0,47.94%,2026-09-17 15:00:00
