上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
3865.0,77.0,71.0,1.0,1157.0,1.0,0.0,1.0,187.0,12.0,74.03%,2026-09-18 14:35:00
3937.0,79.0,73.0,1.0,1109.0,1.0,0.0,1.0,163.0,12.0,75.41%,2026-09-18 15:00:00
