上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
1000.0,30.0,27.0,0.0,4157.0,29.0,28.0,4.0,48.0,14.0,19.16%,2026-09-15 14:35:00
1054.0,32.0,29.0,0.0,4103.0,34.0,33.0,6.0,48.0,14.0,20.20%,2026-09-15 15:00:00
